,Institute Id,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank,Field
202,IR-M-I-1066,Fore School of Management,70.42,17.93,85.12,62.40,13.23,New Delhi,Delhi,51.08,53,Management
203,IR-M-U-0373,Chitkara University,71.22,33.81,57.30,75.06,5.52,Rajpura,Punjab,51.02,54,Management
204,IR-M-U-0146,Nirma University,64.09,27.69,80.98,63.98,8.69,Ahmedabad,Gujarat,51.01,55,Management
205,IR-M-I-1408,"International Management Institute, Kolkata",63.64,30.94,79.30,66.28,1.06,Kolkata,West Bengal,50.97,56,Management
206,IR-M-S-15911,Indian Institute of Management Sirmaur,66.29,18.15,83.61,72.67,15.88,Sirmaur,Himachal Pradesh,50.92,57,Management
207,IR-M-S-156,"T. A. Pai Management Institute, Manipal",60.10,25.90,81.91,70.48,15.51,Manipal,Karnataka,50.78,58,Management
208,IR-M-U-0555,Graphic Era University,69.16,27.41,59.00,71.68,26.50,Dehradun,Uttarakhand,50.59,59,Management
209,IR-M-U-0217,Christ University,61.48,22.09,69.90,72.45,42.58,Bengaluru,Karnataka,50.56,60,Management
210,IR-M-I-1124,"International Management Institute, Bhubaneswar",72.06,16.72,78.94,76.91,2.60,Bhubaneswar,Odisha,50.38,61,Management
211,IR-M-U-0363,Siksha `O` Anusandhan,70.66,19.77,69.03,75.46,12.04,Bhubaneswar,Odisha,49.69,62,Management
212,IR-M-C-56616,K J Somaiya Institute of Management Studies and Research,68.84,23.02,72.59,66.72,9.12,Mumbai,Maharashtra,49.66,63,Management
213,IR-M-S-354,Birla Institute of Management Technology,67.23,18.69,80.54,65.89,9.55,Greater Noida,Uttar Pradesh,49.44,64,Management
214,IR-M-U-0099,Guru Gobind Singh Indraprastha University,60.92,32.16,73.02,54.04,14.76,New Delhi,Delhi,49.40,65,Management
215,IR-M-S-331,Loyola Institute of Business Administration,69.63,15.81,72.60,61.76,29.25,Chennai,Tamil Nadu,49.26,66,Management
216,IR-M-U-0356,Kalinga Institute of Industrial Technology,79.12,22.29,51.75,77.22,7.36,Bhubaneswar,Odisha,49.24,67,Management
217,IR-M-U-0410,Malaviya National Institute of Technology,48.90,57.63,55.61,57.51,3.10,Jaipur,Rajasthan,49.14,68,Management
218,IR-M-U-0439,Anna University,53.37,39.59,63.23,45.31,38.52,Chennai,Tamil Nadu,48.92,69,Management
219,IR-M-U-0496,Aligarh Muslim University,54.24,40.29,68.52,53.44,12.84,Aligarh,Uttar Pradesh,48.68,70,Management
220,IR-M-U-0213,Alliance University,78.59,9.03,67.19,74.92,11.64,Bengaluru,Karnataka,48.38,71,Management
221,IR-M-S-419,"Jaipuria Institute of Management, Lucknow",71.51,12.81,72.36,60.82,24.76,Lucknow,Uttar Pradesh,48.32,72,Management
222,IR-M-U-0749,"Manipal University, Jaipur",66.15,24.92,68.06,69.07,2.60,Jaipur,Rajasthan,48.10,73,Management
223,IR-M-I-1441,Saveetha Institute of Medical and Technical Sciences,67.57,30.84,51.62,77.73,3.10,Chennai,Tamil Nadu,47.92,74,Management
224,IR-M-S-309,Jaipuria Institute of Management,71.33,13.88,74.40,56.82,14.38,Jaipur,Rajasthan,47.56,75,Management
225,IR-M-U-0263,National Institute of Technology Calicut,67.49,24.68,66.03,54.08,12.84,Kozhikode,Kerala,47.55,76,Management
226,IR-M-U-0223,"Jain University, Bangalore",72.00,11.96,70.81,68.40,12.84,Bengaluru,Karnataka,47.47,77,Management
227,IR-M-U-0107,Jamia Hamdard,67.80,17.57,70.05,74.13,3.60,New Delhi,Delhi,47.39,78,Management
228,IR-M-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),70.68,26.18,54.41,70.35,3.10,Vaddeswaram,Andhra Pradesh,47.27,79,Management
229,IR-M-C-37013,PSG College of Technology,60.45,11.27,76.60,57.88,45.02,Coimbatore,Tamil Nadu,47.13,80,Management
230,IR-M-U-0253,Cochin University of Science and Technology,70.94,19.37,66.27,58.71,8.69,Cochin,Kerala,47.08,81,Management
231,IR-M-C-36557,Thiagarajar School of Management,66.90,24.31,64.38,47.67,20.06,Madurai,Tamil Nadu,47.02,82,Management
232,IR-M-U-0735,BML Munjal University,70.47,14.53,66.98,74.64,3.10,Gurgaon,Haryana,46.67,83,Management
233,IR-M-S-19472,Prin. L.N. Welingkar Institute of Management Development and Research (PGDM),67.48,10.70,81.80,60.71,6.45,Mumbai,Maharashtra,46.53,84,Management
234,IR-M-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,62.24,23.46,71.80,52.78,11.23,Gwalior,Madhya Pradesh,46.47,85,Management
235,IR-M-U-0498,Babasaheb Bhimrao Ambedkar University,62.44,11.05,78.23,82.67,4.57,Lucknow,Uttar Pradesh,46.42,86,Management
236,IR-M-S-782,Jagan Institute of Management Studies Technical Campus,66.04,8.36,78.75,70.66,12.44,Delhi,Delhi,46.38,87,Management
237,IR-M-C-32887,New Delhi Institute of Management,70.21,3.47,79.10,72.49,11.23,Delhi,Delhi,46.29,88,Management
238,IR-M-U-0147,Pandit Deendayal Energy University,60.14,26.68,75.31,40.80,2.09,Gandhinagar,Gujarat,45.39,89,Management
239,IR-M-U-0202,Birla Institute of Technology,61.75,23.08,64.18,54.84,12.44,Ranchi,Jharkhand,45.00,90,Management
240,IR-M-S-14565,National Institute of Bank Management,64.45,8.17,85.01,58.50,2.09,Pune,Maharashtra,44.85,91,Management
241,IR-M-U-0078,Panjab University,48.21,29.80,69.61,55.78,18.02,Chandigarh,Chandigarh,44.70,92,Management
242,IR-M-S-164,Rajagiri Business School,65.55,20.92,59.14,56.91,8.69,Cochin,Kerala,44.33,93,Management
243,IR-M-N-4,Bharathidasan Institute of Management,63.85,0.69,82.36,48.63,34.73,Tiruchirappalli,Tamil Nadu,44.17,94,Management
244,IR-M-U-0056,Tezpur University,63.73,16.91,68.04,53.22,3.60,Tezpur,Assam,43.48,95,Management
245,IR-M-S-14553,National Institute of Agricultural Extension Management,69.30,7.76,67.84,60.66,4.09,Hyderabad,Telangana,43.17,96,Management
246,IR-M-I-1132,Institute of Management Technology,55.45,13.61,75.76,61.83,9.55,Hyderabad,Telangana,43.01,97,Management
247,IR-M-U-0643,Galgotias University,62.42,14.99,64.51,65.12,2.60,Gautam Budh Nagar,Uttar Pradesh,42.90,98,Management
248,IR-M-I-1238,Krea University,69.73,2.22,64.61,73.15,9.98,Sri City,Andhra Pradesh,42.82,99,Management
249,IR-M-U-0025,National Institute of Technology Warangal,63.70,28.57,46.53,46.36,9.98,Warangal,Telangana,42.63,100,Management
250,IR-L-U-0238,National Law School of India University,90.31,61.85,85.40,70.80,100.00,Bengaluru,Karnataka,83.83,1,Law
251,IR-L-U-0111,National Law University,87.17,37.03,82.44,71.29,93.20,New Delhi,Delhi,77.48,2,Law
252,IR-L-N-18,Nalsar University of Law,88.21,37.04,86.76,71.76,73.40,Hyderabad,Telangana,77.05,3,Law
253,IR-L-U-0585,The West Bengal National University of Juridical Sciences,86.34,49.44,83.24,69.23,66.99,Kolkata,West Bengal,76.39,4,Law
